# curie_map:
#   ibm-risk-atlas: https://www.ibm.com/docs/en/watsonx/saas?topic=
#   mit-ai-risk-repository: https://airisk.mit.edu/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://www.apache.org/licenses/LICENSE-2.0.html
# mapping_date: '2025-07-07'
# mapping_set_description: Mapping from IBM AI Risk Atlas to MIT AI risk repository
# mapping_set_id: https://github.com/IBM/risk-atlas-nexus/tree/main/src/data/mappings/mit-ai-risk-repository_ibm-risk-atlas.tsv
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	author_id	mapping_date	comment
ibm-risk-atlas:atlas-attribute-inference-attack	Attribute inference attack	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-entity-human	Human	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-attribute-inference-attack	Attribute inference attack	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-intent-intentional	Intentional	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-attribute-inference-attack	Attribute inference attack	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-timing-post-deployment	Post -deployment	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-attribute-inference-attack	Attribute inference attack	skos:relatedMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-2.2	AI system security vulnerabilities and attacks	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-bypassing-learning	Impact on education: bypassing learning	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-entity-human	Human	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-bypassing-learning	Impact on education: bypassing learning	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-intent-intentional	Intentional	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-bypassing-learning	Impact on education: bypassing learning	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-timing-post-deployment	Post -deployment	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-bypassing-learning	Impact on education: bypassing learning	skos:relatedMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-4.3	Fraud, scams, and targeted manipulation	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-confidential-data-in-prompt	Confidential data in prompt	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-entity-other	Other	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-confidential-data-in-prompt	Confidential data in prompt	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-intent-unintentional	Unintentional	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-confidential-data-in-prompt	Confidential data in prompt	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-timing-post-deployment	Post -deployment	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-confidential-data-in-prompt	Confidential data in prompt	skos:relatedMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-2.1	Compromise of privacy by obtaining, leaking or correctly inferring sensitive information	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-confidential-information-in-data	Confidential information in data	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-entity-human	Human	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-confidential-information-in-data	Confidential information in data	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-intent-unintentional	Unintentional	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-confidential-information-in-data	Confidential information in data	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-timing-pre-deployment	Pre -deployment	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-confidential-information-in-data	Confidential information in data	skos:relatedMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-2.1	Compromise of privacy by obtaining, leaking or correctly inferring sensitive information	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-copyright-infringement	Copyright infringement	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-entity-ai	AI	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-copyright-infringement	Copyright infringement	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-intent-other	Other	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-copyright-infringement	Copyright infringement	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-timing-post-deployment	Post -deployment	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-copyright-infringement	Copyright infringement	skos:relatedMatch	mit-ai-risk-repository:mit-ai-risk-subdomain-6.3	Economic and cultural devaluation of human effort	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-dangerous-use	Dangerous use	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-entity-human	Human	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
ibm-risk-atlas:atlas-dangerous-use	Dangerous use	skos:relatedMatch	mit-ai-risk-repository-causal:mit-ai-causal-risk-intent-intentional	Intentional	semapv:ManualMappingCuration	pslat@mit.edu	2025-03-31	Mapping extracted from MIT AI risk repository
