# curie_map:
#   ibm-risk-atlas: https://www.ibm.com/docs/en/watsonx/saas?topic=
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
# mapping_set_id: https://github.com/IBM/risk-atlas-nexus/tree/main/src/data/mappings/ibm2owasp.tsv
# mapping_set_description: Mapping of IBM AI Risk Atlas to OWASP Gen AI Top 10 2025
# license: https://www.apache.org/licenses/LICENSE-2.0.html
# mapping_date: '2025-01-27'
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	author_id	confidence	comment
ibm-risk-atlas:atlas-toxic-output	toxic output	noMatch	owasp-llm-2.0:llm052025-improper-output-handling	LLM05:2025 Improper Output Handling	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-data-poisoning	data poisoning	skos:broadMatch	owasp-llm-2.0:llm042025-data-and-model-poisoning	LLM04:2025 Data and Model Poisoning	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibm-risk-atlas:atlas-unreliable-source-attribution	unreliable source attribution	noMatch			semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95	Relates to explainability which is not covered in OWASP
ibm-risk-atlas:atlas-harmful-output	harmful output	noMatch	owasp-llm-2.0:llm052025-improper-output-handling	LLM05:2025 Improper Output Handling	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-confidential-information-in-data	confidential information in data	skos:relatedMatch	owasp-llm-2.0:llm022025-sensitive-information-disclosure	LLM02:2025 Sensitive Information Disclosure	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-unrepresentative-data	unrepresentative data	noMatch	owasp-llm-2.0:llm042025-data-and-model-poisoning	LLM04:2025 Data and Model Poisoning	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-lack-model-transparency	lack model transparency	noMatch			semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95	Relates to explainability which is not covered in OWASP
ibm-risk-atlas:atlas-personal-information-in-prompt	personal information in prompt	skos:relatedMatch	owasp-llm-2.0:llm022025-sensitive-information-disclosure	LLM02:2025 Sensitive Information Disclosure	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-impact-on-human-agency	impact human agency	noMatch	owasp-llm-2.0:llm092025-misinformation	LLM09:2025 Misinformation	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-exposing-personal-information	exposing personal information	skos:broadMatch	owasp-llm-2.0:llm022025-sensitive-information-disclosure	LLM02:2025 Sensitive Information Disclosure	semapv:ManualMappingCuration	cgi@zurich.ibm.com	0.95
ibm-risk-atlas:atlas-nonconsensual-use	nonconsensual use	noMatch	owasp-llm-2.0:llm092025-misinformation	LLM09:2025 Misinformation	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
ibm-risk-atlas:atlas-decision-bias	decision bias	noMatch	owasp-llm-2.0:llm042025-data-and-model-poisoning	LLM04:2025 Data and Model Poisoning	semapv:ManualMappingCuration	david.piorkowski@ibm.com	0.95
